Year,Date,Site_number,Sampling_Day,Sampling_Day_same,ACT_ngL,CAF_ngL,TCS_ngL
2021,6/1/2021,1,1,1,14,13890,55
2021,6/6/2021,1,2,2,14,10200,1700
2021,6/9/2021,1,3,3,19260,16180,50000
2021,6/1/2021,2,1,1,14,26790,1600
2021,6/6/2021,2,2,2,14,9380,3000
2021,6/9/2021,2,3,3,14,6750,50000
2021,6/1/2021,3,1,1,14,11900,55
2021,6/6/2021,3,2,2,14,7170,1120
2021,6/9/2021,3,3,3,1910,6860,50000
2021,6/1/2021,4,1,1,14,13100,55
2021,6/6/2021,4,2,2,6000,21100,2260
2021,6/9/2021,4,3,3,5410,12880,50000
2021,6/1/2021,5,1,1,14,10680,1700
2021,6/6/2021,5,2,2,14,8950,55
2021,6/9/2021,5,3,3,14,6500,50000
2021,6/1/2021,6,1,1,14,13700,1470
2021,6/6/2021,6,2,2,14,8590,2290
2021,6/9/2021,6,3,3,5600,8170,50000
2022,6/2/2022,1,0,1,600,2470,195.5
2022,6/6/2022,1,1,2,26379,1781,195.5
2022,6/9/2022,1,2,3,600,1175,195.5
2022,7/7/2022,1,3,4,600,2070,195.5
2022,6/2/2022,2,0,1,600,3445,195.5
2022,6/6/2022,2,1,2,600,975,195.5
2022,6/9/2022,2,2,3,600,3952,195.5
2022,7/7/2022,2,3,4,600,1818,195.5
2022,6/2/2022,3,0,1,600,2245,195.5
2022,6/6/2022,3,1,2,600,743,195.5
2022,6/9/2022,3,2,3,600,1856,195.5
2022,7/7/2022,3,3,4,600,1596,195.5
2022,6/2/2022,4,0,1,600,3534,195.5
2022,6/6/2022,4,1,2,249,549,195.5
2022,6/9/2022,4,2,3,600,2200,195.5
2022,7/7/2022,4,3,4,600,1493,195.5
2022,6/2/2022,5,0,1,600,3992,195.5
2022,6/6/2022,5,1,2,600,590,195.5
2022,6/9/2022,5,2,3,600,2307,195.5
2022,7/7/2022,5,3,4,600,1879,195.5
2022,6/2/2022,6,0,1,600,3019,195.5
2022,6/6/2022,6,1,2,1100,588,195.5
2022,6/9/2022,6,2,3,600,2332,195.5
2022,7/7/2022,6,3,4,600,5065,195.5
2023,6/1/2023,1,1-Jun-23,1,0,33.524,0
2023,6/1/2023,2,1-Jun-23,1,0,22.594,0
2023,6/1/2023,3,1-Jun-23,1,0,18.318,0
2023,6/1/2023,4,1-Jun-23,1,0,9.652,0
2023,6/1/2023,5,1-Jun-23,1,0,12.292,0
2023,6/1/2023,6,1-Jun-23,1,0,8.304,0
2023,6/4/2023,1,4-Jun-23,2,0,14.398,0
2023,6/4/2023,2,4-Jun-23,2,0,8.702,0
2023,6/4/2023,3,4-Jun-23,2,0,20.728,0
2023,6/4/2023,4,4-Jun-23,2,0,0,0
2023,6/4/2023,5,4-Jun-23,2,0,31.214,0
2023,6/4/2023,6,4-Jun-23,2,0,38.002,0
2023,6/7/2023,1,7-Jun-23,3,0,6.096,49.61
2023,6/7/2023,2,7-Jun-23,3,0,5.964,52.402
2023,6/7/2023,3,7-Jun-23,3,0,6.962,50.674
2023,6/7/2023,4,7-Jun-23,3,0,13.364,0
2023,6/7/2023,5,7-Jun-23,3,0,10.4,53.052
2023,6/7/2023,6,7-Jun-23,3,0,7.06,48.19
2023,6/29/2023,1,29-Jun-23,4,0,5.574,55.666
2023,6/29/2023,2,29-Jun-23,4,0,7.452,51.11
2023,6/29/2023,3,29-Jun-23,4,0,5.116,0
2023,6/29/2023,4,29-Jun-23,4,0,7.082,48.572
2023,6/29/2023,5,29-Jun-23,4,0,6.242,57.502
2023,6/29/2023,6,29-Jun-23,4,0,10.612,54.08
